variant_index,position,maf,beta,is_causal
112,69713.0,0.027900000000000036,0.0,0
113,70777.0,0.2507,0.0,0
114,71440.0,0.0271,0.0,0
115,71767.0,0.0476,0.0,0
116,71833.0,0.0354,0.0,0
117,73847.0,0.0269,0.0,0
118,74189.0,0.1526,0.0,0
119,74710.0,0.12570000000000003,0.0,0
120,74974.0,0.1257,0.0,0
121,76417.0,0.0903,0.0,0
122,76500.0,0.0826,0.0,0
123,76928.0,0.09030000000000005,0.0,0
124,77432.0,0.046,0.0,0
125,77637.0,0.0666,0.0,0
126,79696.0,0.0666,0.0,0
127,79860.0,0.2319,0.0,0
128,80054.0,0.2497,0.0,0
129,80261.0,0.2497,0.0,0
130,81130.0,0.0731,0.0,0
131,81346.0,0.2319,0.0,0
132,81524.0,0.4846,-0.02085249288804122,1
133,81703.0,0.0269,0.0,0
134,82038.0,0.4894,0.0,0
135,82332.0,0.2367,0.0,0
136,82696.0,0.48939999999999995,0.0,0
137,84072.0,0.41869999999999996,0.0,0
138,84954.0,0.4196,0.0,0
139,85006.0,0.4196,0.0,0
140,85501.0,0.0955,0.0,0
141,85958.0,0.4186,0.0,0
142,86590.0,0.4186,0.0,0
143,87316.0,0.1166,0.0,0
144,88408.0,0.2947,0.0,0
145,88501.0,0.0701,0.0,0
146,90111.0,0.0186,0.0,0
147,92042.0,0.0621,0.021623614877653265,1
148,92333.0,0.0137,0.0,0
149,92976.0,0.0127,0.0,0
150,93432.0,0.0859,0.0,0
151,94156.0,0.0145,0.0,0
152,95220.0,0.2559,0.01315891686870728,1
153,95296.0,0.0199,0.0,0
154,95532.0,0.2559,0.0,0
155,95590.0,0.0354,-0.013633817932515006,1
156,96566.0,0.2426,0.0,0
157,97343.0,0.24260000000000004,0.0,0
158,97447.0,0.2426,0.0,0
159,97546.0,0.4806,0.0,0
160,97740.0,0.0127,0.0,0
161,98217.0,0.0224,0.0,0
162,98791.0,0.015,0.0,0
163,98864.0,0.2276,0.0,0
164,99034.0,0.43600000000000005,0.0,0
165,99442.0,0.0632,0.0,0
166,99587.0,0.0937,0.0,0
167,100252.0,0.2015,0.0,0
168,101170.0,0.2092,0.0,0
169,101487.0,0.2092,0.0,0
170,101655.0,0.1646,0.0,0
171,101658.0,0.3848,0.0,0
172,101849.0,0.0115,0.0,0
173,101871.0,0.0453,0.0,0
174,102135.0,0.20920000000000005,0.0,0
175,104259.0,0.16000000000000003,0.0,0
176,105102.0,0.0219,0.0,0
177,105386.0,0.168,0.0,0
178,106147.0,0.2414,0.0,0
179,106322.0,0.2139,0.0,0
180,110354.0,0.3013,0.0,0
181,111156.0,0.3013,0.0,0
182,111971.0,0.3575,0.0,0
183,112139.0,0.3564,0.0,0
184,112857.0,0.0921,0.0,0
185,114727.0,0.3211,0.0,0
186,116073.0,0.0684,0.0,0
187,116095.0,0.0361,0.0,0
188,118526.0,0.0265,0.0,0
189,118869.0,0.0134,0.0,0
190,118990.0,0.0442,-0.015381996423523843,1
191,119331.0,0.0115,0.0,0
192,120729.0,0.4256,0.0,0
193,120832.0,0.0158,0.0,0
194,120975.0,0.4256,0.0,0
195,121030.0,0.4214,0.0,0
196,122502.0,0.0381,0.0,0
197,122804.0,0.0934,0.0,0
198,123244.0,0.20209999999999995,0.0,0
199,123496.0,0.2021,0.0,0
200,123805.0,0.1042,0.0,0
201,123930.0,0.1503,-0.021567270912641778,1
202,124248.0,0.3563,0.0,0
203,125322.0,0.2031,0.0,0
204,126186.0,0.0116,0.0,0
205,126274.0,0.3745,0.0,0
206,126684.0,0.1915,0.0,0
207,128111.0,0.1064,0.0,0
208,129039.0,0.05889999999999995,0.0,0
209,129140.0,0.0589,0.0,0
210,129427.0,0.05889999999999995,0.0,0
211,130997.0,0.0589,0.0,0
212,131363.0,0.0589,0.0,0
213,131399.0,0.0646,0.0,0
214,131764.0,0.0589,0.0,0
215,132650.0,0.033,0.0,0
216,133302.0,0.29969999999999997,0.0,0
217,133321.0,0.0907,0.0,0
218,133333.0,0.0589,0.0,0
219,133608.0,0.0477,0.0,0
220,133751.0,0.29969999999999997,0.0,0
221,133982.0,0.0701,0.0,0
222,133990.0,0.1395,0.0,0
223,134581.0,0.2408,0.0,0
224,134951.0,0.1911,-0.01975728387243067,1
225,135388.0,0.24070000000000003,0.0,0
226,137955.0,0.106,0.0,0
227,138497.0,0.043,0.0,0
228,138860.0,0.0239,0.0,0
229,139039.0,0.1904,0.0,0
230,139649.0,0.059,0.0,0
231,139760.0,0.0981,0.0,0
232,141513.0,0.0981,0.0,0
233,141536.0,0.2016,0.0,0
234,142159.0,0.0981,0.0,0
235,142735.0,0.3308,0.0,0
236,143482.0,0.0806,0.0,0
237,143757.0,0.0808,0.0,0
238,144183.0,0.2462,0.0,0
239,145752.0,0.28790000000000004,0.0,0
240,148405.0,0.1991,0.0,0
241,148652.0,0.0572,0.0,0
242,149180.0,0.1291,0.0,0
243,149248.0,0.025,0.0,0
244,149653.0,0.0135,0.0,0
245,149995.0,0.2117,-0.01533116769479403,1
246,150762.0,0.1533,0.0,0
247,151103.0,0.0275,0.0,0
248,152882.0,0.025,0.0,0
249,153001.0,0.0912,0.0,0
250,153326.0,0.0183,0.0,0
251,153439.0,0.0201,0.0,0
252,153754.0,0.0454,0.0,0
253,154207.0,0.0451,0.0,0
254,154815.0,0.0798,0.0,0
255,155235.0,0.0798,0.0,0
256,158081.0,0.3747,0.0,0
257,158347.0,0.1406,0.0,0
258,159339.0,0.0169,0.0,0
259,159804.0,0.0251,0.0,0
260,159881.0,0.1996,0.0,0
261,160850.0,0.2233,0.0,0
262,160860.0,0.485,0.0,0
263,162284.0,0.0332,0.0,0
264,162898.0,0.4836,0.0,0
265,163540.0,0.48360000000000003,0.0,0
266,164047.0,0.1331,0.0,0
267,164192.0,0.4836,0.0,0
268,165509.0,0.0766,0.0,0
269,166169.0,0.0464,0.0,0
270,166838.0,0.2952,0.0,0
271,167018.0,0.0681,0.0,0
272,167087.0,0.0213,0.0,0
273,167989.0,0.0104,0.0,0
274,169115.0,0.2954,0.0,0
275,169394.0,0.0786,0.0,0
276,169595.0,0.3506,0.0,0
277,169733.0,0.2194,0.04009395495969838,1
278,171361.0,0.38239999999999996,0.0,0
279,171817.0,0.0174,0.0,0
280,171838.0,0.0224,0.01112647382444839,1
281,172733.0,0.0147,0.0,0
282,172945.0,0.1098,0.0,0
283,173920.0,0.046,0.0,0
284,174231.0,0.0218,0.0,0
285,175706.0,0.1577,0.0,0
286,175727.0,0.1348,0.0,0
287,175815.0,0.02180000000000004,0.0,0
288,176103.0,0.0218,0.0,0
289,176268.0,0.02180000000000004,0.0,0
290,176464.0,0.02180000000000004,0.0,0
291,176573.0,0.02180000000000004,0.0,0
292,176721.0,0.2838,0.0,0
293,176971.0,0.0363,0.0,0
294,177074.0,0.0701,0.0,0
295,177287.0,0.0794,0.0,0
296,177509.0,0.0794,0.0,0
297,177667.0,0.0701,0.0,0
298,178202.0,0.07010000000000005,0.0,0
299,178265.0,0.2741,0.0,0
300,178757.0,0.0701,0.0,0
301,178785.0,0.07010000000000005,0.0,0
302,179268.0,0.07010000000000005,0.0,0
303,179431.0,0.0701,0.0,0
304,179480.0,0.07010000000000005,0.0,0
305,179502.0,0.1,0.0,0
306,179980.0,0.0349,0.0,0
307,180116.0,0.0214,0.0,0
308,181997.0,0.0605,0.0,0
309,182162.0,0.0732,0.0,0
310,182258.0,0.3952,0.0,0
311,182839.0,0.0468,0.0,0
312,183238.0,0.04820000000000002,0.0,0
313,183790.0,0.0143,0.0,0
314,184299.0,0.046,0.0,0
315,184790.0,0.0482,0.0,0
316,184969.0,0.4161,0.0,0
317,185240.0,0.0482,3.846742792791512e-05,1
318,187134.0,0.0794,0.0,0
319,188235.0,0.3637,-0.03715619575549511,1
320,188875.0,0.4073,0.0,0
321,189121.0,0.0359,0.0,0
322,189586.0,0.0707,0.0,0
323,189954.0,0.4041,0.024021039270275265,1
324,190033.0,0.3057,0.0,0
325,190616.0,0.0494,0.0,0
326,192071.0,0.0166,0.0,0
327,194600.0,0.4694,0.0,0
328,195244.0,0.0362,0.0,0
329,197245.0,0.36819999999999997,0.0,0
330,198464.0,0.3481,0.0,0
331,199420.0,0.3472,0.0,0
332,200395.0,0.3059,0.0,0
333,200727.0,0.3059,0.0,0
334,201050.0,0.0119,0.0,0
335,201385.0,0.0627,0.0,0
336,201480.0,0.3889,0.0,0
337,201654.0,0.0359,0.0,0
338,201863.0,0.0194,0.0,0
339,201880.0,0.0121,0.0,0
340,202166.0,0.389,0.0,0
341,202297.0,0.1919,0.0,0
342,202832.0,0.3052,0.0,0
343,204090.0,0.0395,0.0,0
344,204325.0,0.1919,0.0,0
345,204449.0,0.0194,0.0,0
346,204513.0,0.0488,0.0,0
347,204810.0,0.2992,0.0,0
348,205058.0,0.0814,0.0,0
349,205141.0,0.1073,0.0,0
350,205244.0,0.2992,0.0,0
351,205537.0,0.0476,0.0,0
352,205862.0,0.0886,0.039288681457467306,1
353,205987.0,0.3004,0.0,0
354,206919.0,0.0106,0.0,0
355,207057.0,0.0402,0.0,0
356,207451.0,0.2996,0.0,0
357,208550.0,0.2996,0.0,0
358,209702.0,0.0162,0.0,0
359,210112.0,0.0242,0.0,0
360,210365.0,0.0121,0.05844920365735909,1
361,210584.0,0.3389,0.0,0
362,210904.0,0.0228,0.0,0
363,211247.0,0.1209,-0.0324356748706791,1
364,211567.0,0.0403,0.0,0
365,211609.0,0.33909999999999996,0.0,0
366,211922.0,0.3073,0.0,0
367,211969.0,0.34709999999999996,0.0,0
368,212189.0,0.0166,-0.0804886928470018,1
369,212459.0,0.0339,0.0,0
370,212494.0,0.0398,0.0,0
371,212635.0,0.0398,0.0,0
372,212777.0,0.3073,0.0,0
373,212877.0,0.0398,0.0,0
374,213137.0,0.0911,0.0,0
375,213474.0,0.3057,0.0,0
376,213967.0,0.0196,0.0,0
377,214864.0,0.0859,0.0,0
378,215078.0,0.1183,0.0,0
379,216242.0,0.1243,0.0,0
380,216424.0,0.1243,0.0,0
381,216442.0,0.0122,0.0,0
382,216610.0,0.1021,0.0,0
383,217398.0,0.1029,0.0,0
384,217795.0,0.1243,0.0,0
385,218352.0,0.0235,0.0,0
386,218848.0,0.376,0.0,0
387,219677.0,0.103,0.0,0
388,219794.0,0.2706,0.0,0
389,219812.0,0.103,0.0,0
390,219997.0,0.376,0.0,0
391,220859.0,0.1021,0.0,0
392,220962.0,0.1054,0.0,0
393,222140.0,0.0606,0.0,0
394,222522.0,0.0518,0.0,0
395,223011.0,0.029,0.0,0
396,223115.0,0.4392,0.0,0
397,223139.0,0.4392,0.0,0
398,223699.0,0.0956,0.0,0
399,224323.0,0.4367,0.0,0
400,224988.0,0.0615,0.0,0
401,225672.0,0.0136,0.0,0
402,225833.0,0.1033,0.0,0
403,225977.0,0.0402,0.0,0
404,226374.0,0.0115,0.0,0
405,226795.0,0.0232,0.0,0
406,226964.0,0.3287,0.0,0
407,227383.0,0.42390000000000005,0.0,0
408,228447.0,0.0217,0.0,0
409,228811.0,0.0416,0.0,0
410,229087.0,0.462,0.0,0
411,229269.0,0.46199999999999997,0.0,0
412,229441.0,0.032,0.0,0
413,230239.0,0.0142,0.0,0
414,233819.0,0.4084,0.07336045548774603,1
415,234935.0,0.2672,0.0,0
416,235643.0,0.1137,0.0,0
417,235841.0,0.1137,0.0,0
418,236519.0,0.0232,0.0,0
419,238428.0,0.223,0.0,0
420,238687.0,0.0358,0.0,0
421,239159.0,0.0194,0.0,0
422,239663.0,0.0483,0.0,0
423,240525.0,0.0136,0.0,0
424,240913.0,0.0238,0.0,0
425,241020.0,0.2895,0.0,0
426,242955.0,0.0227,0.0,0
427,243003.0,0.0148,0.0,0
428,243308.0,0.0432,0.0,0
429,243577.0,0.0121,0.0,0
430,244368.0,0.0795,0.0,0
431,244554.0,0.011,0.0,0
432,245422.0,0.0809,0.0,0
433,245824.0,0.3377,0.0,0
434,246469.0,0.0219,0.0,0
435,246478.0,0.1335,0.0,0
436,247054.0,0.3132,0.0,0
437,247348.0,0.4175,0.0,0
438,248061.0,0.3193,0.0,0
439,248539.0,0.0223,0.0,0
440,248757.0,0.4175,0.0,0
441,249208.0,0.0142,0.0,0
442,250498.0,0.3802,0.0,0
443,250850.0,0.3764,0.0,0
444,250916.0,0.19279999999999997,0.0,0
445,251842.0,0.1598,0.0,0
446,252247.0,0.0179,0.0,0
447,252280.0,0.1103,0.0,0
448,252675.0,0.1627,0.0,0
449,252690.0,0.0394,0.010097679010609397,1
450,253060.0,0.4274,0.0,0
451,253694.0,0.0334,0.0,0
452,254281.0,0.40069999999999995,0.0,0
453,254639.0,0.1627,0.0,0
454,255103.0,0.1717,0.0,0
455,257130.0,0.47309999999999997,0.0,0
456,258037.0,0.0202,0.0,0
457,258524.0,0.0224,0.0,0
458,258763.0,0.17,0.0,0
459,259008.0,0.3417,0.0,0
460,259224.0,0.0232,0.0,0
461,260343.0,0.0142,0.0,0
462,260809.0,0.0224,0.0,0
463,261848.0,0.1305,0.0,0
464,261945.0,0.0349,0.0,0
465,261956.0,0.0238,0.0,0
466,262019.0,0.0474,0.0,0
467,263018.0,0.0849,0.0,0
468,263445.0,0.122,0.0,0
469,263454.0,0.0224,0.0,0
470,263946.0,0.1139,0.0,0
471,265090.0,0.0197,0.0,0
472,267763.0,0.0916,0.0,0
473,268885.0,0.0607,0.05189098636283012,1
474,269545.0,0.18979999999999997,0.0,0
475,269781.0,0.0158,0.0,0
476,269897.0,0.18330000000000002,0.0,0
477,269939.0,0.18330000000000002,0.0,0
478,270486.0,0.0609,0.0,0
479,271424.0,0.1986,0.0,0
480,271537.0,0.39390000000000003,0.0,0
481,271725.0,0.0494,0.0,0
482,272799.0,0.1412,0.0,0
483,273216.0,0.0103,0.0,0
484,273452.0,0.0454,0.0,0
485,273564.0,0.35750000000000004,0.0,0
486,274012.0,0.1186,0.0,0
487,274272.0,0.1471,0.0,0
488,277144.0,0.0236,0.0,0
489,278419.0,0.0482,0.0,0
490,278677.0,0.0121,0.0,0
491,278785.0,0.229,0.0,0
492,278816.0,0.0482,0.0,0
493,278855.0,0.0482,0.0,0
494,279997.0,0.09670000000000001,0.0,0
495,280635.0,0.0933,0.0,0
496,280842.0,0.2743,0.0,0
497,281471.0,0.1778,0.0,0
498,281922.0,0.2743,0.0,0
499,282000.0,0.0485,0.0,0
500,282202.0,0.144,0.0,0
501,282468.0,0.0319,0.0,0
502,283230.0,0.1299,0.0,0
503,283287.0,0.1779,0.0,0
504,283767.0,0.1779,0.0,0
505,284086.0,0.1299,0.0,0
506,284574.0,0.17789999999999995,0.0,0
507,284957.0,0.0486,0.0,0
508,285052.0,0.13,0.0,0
509,286819.0,0.0486,0.0,0
510,286895.0,0.0479,0.0,0
511,287361.0,0.0859,0.0,0
512,287494.0,0.0599,0.0,0
513,287769.0,0.0208,0.0,0
514,287829.0,0.1372,0.0,0
515,287885.0,0.0965,0.0,0
516,288228.0,0.0947,0.0,0
517,288325.0,0.1067,0.0,0
518,289124.0,0.0456,0.0,0
519,289384.0,0.0859,0.0,0
520,289659.0,0.0223,0.0,0
521,289897.0,0.0295,0.0,0
522,290123.0,0.0233,0.0,0
523,290254.0,0.0295,0.0,0
524,290475.0,0.0412,0.0,0
525,290577.0,0.2721,0.0,0
526,290893.0,0.0295,0.0,0
527,291340.0,0.0295,0.0,0
528,291856.0,0.045,0.0,0
529,291870.0,0.0294,0.0,0
530,291915.0,0.02939999999999998,0.0,0
531,296442.0,0.039,0.0,0
532,297109.0,0.0301,0.0,0
533,297804.0,0.0238,0.0,0
534,298249.0,0.037,0.0,0
535,299094.0,0.0401,0.0,0
536,300389.0,0.0232,0.0,0
537,300902.0,0.0819,0.0,0
538,302523.0,0.0256,0.0,0
539,302672.0,0.0401,0.0,0
540,302770.0,0.2643,0.0,0
541,303192.0,0.2273,0.0,0
542,303209.0,0.0191,-0.051662333189636804,1
543,304699.0,0.1534,0.0,0
544,304965.0,0.0238,0.0,0
545,305179.0,0.0671,0.0,0
546,306132.0,0.06710000000000005,0.0,0
547,306144.0,0.3309,0.0,0
548,307060.0,0.0671,0.0,0
549,308122.0,0.4029,0.0,0
550,308477.0,0.06699999999999995,0.0,0
551,309713.0,0.067,0.0,0
552,309962.0,0.0157,0.0,0
553,310781.0,0.067,0.0,0
554,311100.0,0.067,0.0,0
555,311229.0,0.0922,0.0,0
556,312343.0,0.0136,-0.007297368280979055,1
557,312435.0,0.0222,0.0,0
558,315057.0,0.0672,0.0,0
559,315135.0,0.0911,0.0,0
560,315249.0,0.0672,0.0,0
561,315301.0,0.06720000000000004,0.0,0
562,315420.0,0.06720000000000004,0.0,0
563,315788.0,0.0257,0.0,0
564,316084.0,0.0672,0.0,0
565,316108.0,0.0911,0.0,0
566,316110.0,0.06720000000000004,0.0,0
567,316773.0,0.0672,0.0,0
568,316826.0,0.0672,0.06358662473488684,1
569,317211.0,0.2174,0.0,0
570,317271.0,0.0403,0.0,0
571,318477.0,0.4428,0.0,0
572,318556.0,0.4427,0.0,0
573,318828.0,0.40280000000000005,0.0,0
574,318856.0,0.0241,0.0,0
575,318930.0,0.40280000000000005,0.0,0
576,319022.0,0.1602,-0.0013786348846934486,1
577,319554.0,0.3247,0.0,0
578,319925.0,0.41479999999999995,0.0,0
579,320264.0,0.0883,0.0,0
580,321704.0,0.4468,0.0,0
581,321734.0,0.4468,0.0,0
582,321918.0,0.052,0.0,0
583,322773.0,0.5,0.0,0
584,323049.0,0.2309,0.0,0
585,323274.0,0.0454,0.0,0
586,323975.0,0.1233,0.0,0
587,324896.0,0.4948,0.0,0
588,325123.0,0.011,0.04326465031168521,1
589,325334.0,0.4948,0.0,0
590,325337.0,0.0401,0.017260250383258284,1
591,325744.0,0.49450000000000005,0.0,0
592,326029.0,0.4953,0.0,0
593,326384.0,0.0305,-0.10649454444000395,1
594,326622.0,0.0401,0.0,0
595,326638.0,0.122,0.0,0
596,326785.0,0.4951,0.0,0
597,326788.0,0.3254,0.0,0
598,326831.0,0.4951,0.0,0
599,326923.0,0.4951,0.0,0
600,327498.0,0.495,0.0,0
601,327884.0,0.4469,0.0,0
602,328807.0,0.4452,0.0,0
603,329508.0,0.17090000000000005,0.0,0
604,330443.0,0.0226,0.0,0
605,330768.0,0.16869999999999996,0.0,0
606,331263.0,0.0226,0.0,0
607,331739.0,0.1508,0.0,0
608,332301.0,0.026,-0.06297847576640275,1
609,332499.0,0.0173,0.0,0
610,333470.0,0.1372,0.0,0
611,334073.0,0.4548,0.0,0
612,334641.0,0.43689999999999996,0.0,0
613,334646.0,0.0734,-0.010239265607430307,1
614,335025.0,0.4369,0.0,0
615,335377.0,0.0103,0.0,0
616,335739.0,0.3569,0.0,0
617,336487.0,0.0218,0.0,0
618,336735.0,0.4371,0.06589015760003668,1
619,336918.0,0.1044,0.0,0
620,337405.0,0.3569,0.0,0
621,337470.0,0.4268,0.0,0
622,337562.0,0.1508,0.0,0
623,337712.0,0.0158,0.0,0
624,337817.0,0.0277,0.0,0
625,338583.0,0.3237,0.0,0
626,338587.0,0.325,0.0,0
627,338991.0,0.2887,0.0,0
628,339453.0,0.0624,0.0,0
629,339671.0,0.3247,0.0,0
630,340125.0,0.0624,0.0,0
631,340364.0,0.2889,0.0,0
632,341009.0,0.1733,0.0,0
633,341103.0,0.3929,0.0,0
634,341418.0,0.3205,0.0,0
635,341534.0,0.2889,0.0,0
636,341941.0,0.0724,0.0,0
637,342763.0,0.321,0.0,0
638,342975.0,0.238,-0.020281139265093697,1
639,343095.0,0.2406,0.0,0
640,343456.0,0.0237,0.0,0
641,344263.0,0.1044,0.0,0
642,344724.0,0.2993,0.0,0
643,345054.0,0.322,0.0,0
644,345434.0,0.1387,0.0,0
645,345993.0,0.1387,0.0,0
646,346365.0,0.0319,0.0,0
647,347422.0,0.0319,0.0,0
648,347619.0,0.0378,0.0,0
649,347672.0,0.2358,0.0,0
650,347796.0,0.0713,0.0,0
651,347905.0,0.2358,0.0,0
652,348202.0,0.0713,0.001376978070271235,1
653,348344.0,0.0227,0.0,0
654,349494.0,0.0102,0.0,0
655,349667.0,0.1027,0.0,0
656,350112.0,0.1354,0.0,0
657,350416.0,0.2987,0.0,0
658,351746.0,0.2996,0.0,0
659,351771.0,0.2996,0.0,0
660,351955.0,0.1384,0.0,0
661,352255.0,0.0365,0.0,0
662,352685.0,0.4458,0.0,0
663,352701.0,0.4458,0.0,0
664,352959.0,0.4452,0.05533198623740579,1
665,352972.0,0.44520000000000004,0.0,0
666,354194.0,0.0464,0.0,0
667,354506.0,0.4216,0.0,0
668,355401.0,0.0365,0.0,0
669,355567.0,0.1073,0.0,0
670,357227.0,0.0302,0.0,0
671,357313.0,0.35109999999999997,0.0,0
672,357563.0,0.0936,0.0,0
673,358063.0,0.031,0.0,0
674,359311.0,0.0545,-0.05461915795536468,1
675,359313.0,0.4093,0.0,0
676,359330.0,0.1073,0.0,0
677,359410.0,0.0288,0.0,0
678,359588.0,0.0614,0.0,0
679,359846.0,0.0545,0.0,0
680,360138.0,0.05449999999999999,0.0,0
681,360264.0,0.0924,0.0,0
682,360955.0,0.065,0.0,0
683,361587.0,0.0411,0.0,0
684,361937.0,0.0131,0.0,0
685,362237.0,0.46509999999999996,0.0,0
686,364012.0,0.0924,-0.04870935152373352,1
687,364515.0,0.2418,0.0,0
688,364960.0,0.2839,0.0,0
689,365010.0,0.0499,0.0,0
690,365193.0,0.1074,0.0,0
691,366029.0,0.0202,0.0,0
692,366074.0,0.3495,0.0,0
693,367094.0,0.2456,0.0,0
694,367442.0,0.0135,0.0,0
695,367886.0,0.0302,0.0,0
696,367948.0,0.2684,0.0,0
697,369039.0,0.3377,0.0,0
698,369528.0,0.2576,0.0,0
699,369769.0,0.3377,0.0,0
700,370683.0,0.032,0.0,0
701,371310.0,0.0887,0.0,0
702,371361.0,0.2684,0.0,0
703,371797.0,0.0596,0.0,0
704,372301.0,0.26839999999999997,0.0,0
705,372598.0,0.0306,0.0,0
706,373281.0,0.40090000000000003,0.0,0
707,373589.0,0.0991,0.0,0
708,373702.0,0.0158,0.0,0
709,374384.0,0.0464,0.0,0
710,374766.0,0.39959999999999996,0.0,0
711,375508.0,0.3005,0.0,0
712,375999.0,0.1786,0.0,0
713,376148.0,0.1566,0.0,0
714,378386.0,0.321,0.0,0
715,379383.0,0.326,0.0,0
716,380990.0,0.0158,0.0,0
717,381238.0,0.3811,0.0,0
718,381561.0,0.3811,0.0,0
719,382039.0,0.3811,0.0,0
720,382110.0,0.2984,0.0,0
721,382255.0,0.3811,0.0,0
722,383332.0,0.3835,0.0,0
723,383748.0,0.0386,0.0,0
724,384414.0,0.0527,0.0,0
725,384621.0,0.3283,0.0,0
726,385050.0,0.0121,0.0,0
727,385222.0,0.0279,0.0,0
728,385860.0,0.4666,0.0,0
729,385887.0,0.4807,0.0,0
730,385902.0,0.4666,0.0,0
731,386652.0,0.0924,0.0,0
732,387207.0,0.0924,0.014734145951309202,1
733,388293.0,0.0924,0.0,0
734,388334.0,0.0589,0.0,0
735,388398.0,0.09240000000000004,0.0,0
736,388664.0,0.0295,0.0,0
737,389181.0,0.47030000000000005,0.0,0
738,389406.0,0.0706,0.0,0
739,389780.0,0.0992,0.0,0
740,390118.0,0.4165,0.0,0
741,390727.0,0.1604,0.0,0
742,390782.0,0.025,0.0,0
743,391263.0,0.0994,0.0,0
744,391735.0,0.0553,0.0,0
745,393576.0,0.0553,0.0,0
746,393943.0,0.0221,0.0,0
747,394643.0,0.4444,0.0,0
748,395312.0,0.0586,0.0,0
749,397064.0,0.0165,0.0,0
